run_id	pvalue_KM	n_sign_KM	enriching_signatures	p_value_adj_KM
shuffling_50perc_3	0.9304470687222828	6	Comm_7;Comm_5;Comm_3;Comm_2;Comm_6;Comm_4	0.9477309152000961
shuffling_50perc_4	0.8520504626926009	5	Comm_7;Comm_5;Comm_3;Comm_2;Comm_4	0.8843047388828571
shuffling_50perc_5	0.13622057711944938	5	Comm_7;Comm_5;Comm_3;Comm_1;Comm_2	0.26976790851258403
shuffling_50perc_6	6.698903004830989e-5	6	Comm_6;Comm_5;Comm_3;Comm_1;Comm_7;Comm_4	0.00440787817717879
shuffling_50perc_7	8.573674057537271e-5	7	Comm_7;Comm_5;Comm_2;Comm_4;Comm_6;Comm_3;Comm_1	0.004701231274882937
shuffling_50perc_8	0.12060878490317138	7	Comm_7;Comm_5;Comm_1;Comm_6;Comm_2;Comm_4;Comm_3	0.26159627833322874
shuffling_50perc_9	0.3515273917619576	3	Comm_5;Comm_7;Comm_4	0.42979671419645016
shuffling_50perc_10	0.02256913582834271	6	Comm_7;Comm_5;Comm_3;Comm_2;Comm_4;Comm_6	0.19486760830739444
shuffling_50perc_11	0.2281433693270899	6	Comm_3;Comm_5;Comm_7;Comm_2;Comm_4;Comm_6	0.3369530344871761
shuffling_50perc_12	0.15577564025600943	6	Comm_3;Comm_5;Comm_7;Comm_6;Comm_2;Comm_4	0.28911418502538316
shuffling_50perc_13	0.35235129990757896	6	Comm_7;Comm_5;Comm_3;Comm_2;Comm_1;Comm_4	0.42979671419645016
shuffling_50perc_14	0.21838559020463	6	Comm_3;Comm_5;Comm_1;Comm_2;Comm_7;Comm_4	0.3338302730497586
shuffling_50perc_15	0.9599179997179853	6	Comm_7;Comm_5;Comm_3;Comm_2;Comm_1;Comm_4	0.9687516009423839
shuffling_50perc_16	0.4596723033979134	5	Comm_7;Comm_5;Comm_3;Comm_2;Comm_4	0.5215270226066734
shuffling_50perc_17	0.04401258565268627	7	Comm_7;Comm_5;Comm_1;Comm_2;Comm_3;Comm_6;Comm_4	0.22798447401579405
shuffling_50perc_18	0.8959555686690143	5	Comm_7;Comm_5;Comm_3;Comm_4;Comm_2	0.9249501045385841
shuffling_50perc_19	0.5722861048532245	6	Comm_7;Comm_5;Comm_2;Comm_1;Comm_3;Comm_4	0.6382445033786809
shuffling_50perc_20	0.1214100956252729	6	Comm_7;Comm_6;Comm_5;Comm_2;Comm_3;Comm_4	0.26159627833322874
shuffling_50perc_21	0.3559872666055616	7	Comm_7;Comm_5;Comm_2;Comm_3;Comm_4;Comm_1;Comm_6	0.43058753938687416
shuffling_50perc_22	0.2318343860341762	7	Comm_7;Comm_5;Comm_3;Comm_1;Comm_2;Comm_4;Comm_6	0.33749342037718566
shuffling_50perc_23	0.04164706766712859	6	Comm_3;Comm_5;Comm_7;Comm_1;Comm_2;Comm_4	0.22798447401579405
shuffling_50perc_24	0.021542030132909198	7	Comm_7;Comm_5;Comm_3;Comm_1;Comm_2;Comm_4;Comm_6	0.19486760830739444
shuffling_50perc_25	0.7967154112355666	5	Comm_7;Comm_1;Comm_5;Comm_2;Comm_3	0.8428275572234772
shuffling_50perc_26	0.1360074242900306	5	Comm_7;Comm_5;Comm_2;Comm_4;Comm_3	0.26976790851258403
shuffling_50perc_27	0.24867096780391224	6	Comm_7;Comm_5;Comm_1;Comm_3;Comm_2;Comm_4	0.3499596012613411
shuffling_50perc_28	0.06912551714563114	6	Comm_3;Comm_5;Comm_7;Comm_1;Comm_2;Comm_4	0.24126901667783263
shuffling_50perc_29	0.13102428495695015	5	Comm_7;Comm_5;Comm_2;Comm_3;Comm_4	0.26609252932615185
shuffling_50perc_30	0.06788334173806981	7	Comm_7;Comm_5;Comm_1;Comm_3;Comm_2;Comm_4;Comm_6	0.24126901667783263
shuffling_50perc_31	0.025469018714948208	7	Comm_3;Comm_5;Comm_7;Comm_6;Comm_2;Comm_1;Comm_4	0.19486760830739444
shuffling_50perc_32	0.37719323934342375	5	Comm_7;Comm_5;Comm_2;Comm_3;Comm_4	0.4512602754326778
shuffling_50perc_33	0.655047264930748	6	Comm_7;Comm_3;Comm_5;Comm_2;Comm_4;Comm_6	0.7207710707766425
shuffling_50perc_34	0.14551625451314917	5	Comm_7;Comm_5;Comm_2;Comm_6;Comm_3	0.2754607521555142
