gene_ID,gene_name,difference,tstat,logpval,significant
C14orf182,C14orf182,0.10201207188920527,0.10201207188920527,0.9187470930921618,NA
C14orf183,C14orf183,-0.7336325017717342,-0.7336325017717342,1.5368272534165788,NA
C14orf2,C14orf2,1.3163829352860208,1.3163829352860208,0.18804554706811147,NA
C14orf23,C14orf23,-0.7336325017717342,-0.7336325017717342,1.5368272534165788,NA
C14orf28,C14orf28,-0.5008689164204764,-0.5008689164204764,1.3835366202698856,NA
C14orf37,C14orf37,-0.8755496766556699,-0.8755496766556699,1.6187251069298734,NA
C14orf39,C14orf39,-2.439842659743503,-2.439842659743503,1.9853063399238358,+
C14orf64,C14orf64,-1.6024180531022634,-1.6024180531022634,1.8909368046702053,NA
C14orf79,C14orf79,0.10117060175306349,0.10117060175306349,0.919415033354874,NA
C14orf80,C14orf80,1.5056166232099368,1.5056166232099368,0.13216561862774515,NA
C14orf93,C14orf93,0.01789742251101854,0.01789742251101854,0.9857206852239839,NA
C15orf26,C15orf26,-0.09570104586814084,-0.09570104586814084,1.0762419897682542,NA
C15orf27,C15orf27,-1.120967678285062,-1.120967678285062,1.73769837924364,NA
C15orf38,C15orf38,0.550030190912768,0.550030190912768,0.5822986661725973,NA
C15orf38-AP3S2,C15orf38-AP3S2,0.550030190912768,0.550030190912768,0.5822986661725973,NA
C15orf39,C15orf39,0.08256116604992476,0.08256116604992476,0.9342004808137536,NA
C15orf40,C15orf40,-0.35762480786031686,-0.35762480786031686,1.2793758894339298,NA
C15orf41,C15orf41,-0.17958914559428943,-0.17958914559428943,1.1425248733053706,NA
C15orf48,C15orf48,0.9333522021614188,0.9333522021614188,0.3506381505379583,NA
C15orf52,C15orf52,-0.3871086268612896,-0.3871086268612896,1.3013242087455974,NA
C15orf53,C15orf53,-0.7336325017717342,-0.7336325017717342,1.5368272534165788,NA
C15orf54,C15orf54,-2.817112558859133,-2.817112558859133,1.9951542459940312,+
C15orf56,C15orf56,-1.5576906789427194,-1.5576906789427194,1.88069340885561,NA
C15orf57,C15orf57,0.0757970407247839,0.0757970407247839,0.9395805705134129,NA
C15orf59,C15orf59,-0.9723511065479964,-0.9723511065479964,1.6691240930152813,NA
